,word,x,y,z
272,Kirmira,3.08715620973,0.240869682178,-4.18552554356
279,Lakshman,2.34459653866,7.80038402623,-8.61939813448
283,Vaishnava,15.5335915848,4.34091663889,7.13357618688
293,Go,2.00623449533,2.78535177143,1.49882664496
310,Paurava,-11.1103899901,10.194198103,0.852671775444
311,Brahman,8.57649383529,8.90121265345,11.1700950595
317,Please,3.63738549823,4.56758098831,1.44299813766
318,Due,16.0119287541,2.72076391543,4.92023924448
323,Commentary,10.8601690083,4.72789039774,-4.6358929538
327,Kanka,3.36484213537,4.34643156734,-9.04887248739
337,B,3.91483712386,3.91131882485,-5.74893042814
340,Kampilya,-7.42591354853,-5.52777593812,8.59240180333
346,Satyavati,-1.73748458025,2.97769807779,4.66458621928
347,Kripacharya,-0.962866134247,-1.72114944148,-11.2461418478
367,Bhojas,2.3777313681,8.5458218135,-8.92528601302
372,Koshalas,0.762102699397,8.25710716224,-9.65090894097
415,Kauravas,-5.488777973,-1.24882532497,2.8775578242
426,Ganges,-5.84097391053,-4.04730973939,6.84998852843
429,Pandya,-11.684893167,6.51084951548,0.79861981438
430,Kuru,-6.96263983908,0.114591333822,2.04545647217
436,Others,17.7514942962,4.36740367382,5.0509303768
440,Chakravyuha,-6.02568760155,-11.2157535455,-7.74237496832
447,Ekachakra,2.66758474967,-3.22455157323,14.7235957058
453,Duhshasana,-5.62380687562,-2.29895317092,-5.3164595804
461,Vasus,0.0161391051264,1.35271989378,8.30862800977
463,Ajatrashatru,15.2199104104,-3.60696788071,2.59608966838
464,Vedanta,12.9533202355,5.6536477919,5.65233086396
480,C,16.2324566895,5.19102856851,7.82115702537
489,Vikarna,-16.6163694948,-13.1669165211,-6.83583502996
500,Alambhusha,-8.46617453103,11.3971087759,-1.10688300445
510,Rakshasa,-7.87511833649,3.40642413994,1.23012337701
515,Himavat,5.52336339548,-7.42290385395,13.4962801172
537,Shiva,4.83960926383,5.29930408613,-2.63337351794
540,Dhrishtaketu,-3.01893016593,-4.16771785306,-6.23385212302
542,Shikhandin,0.060150099994,7.42524760425,-8.39086178317
563,Falling,-11.887749846,1.44308408158,-0.666559051471
564,Tell,2.35982932893,5.28219145508,2.22840824215
567,Urvasi,-0.336738600168,2.05810423645,9.06925060912
580,Kamyaka,-1.33683548562,-0.575015094746,4.92456519697
596,Mine,13.7273769878,5.59633111792,6.34625951224
597,Rushing,-11.1787321885,6.63184790718,0.934094920923
607,Kritavarman,-15.0581600856,-13.0032961892,-6.81334196997
623,Or,16.9031819542,4.51873076998,-4.73943808602
631,Krishna,1.70421401582,-2.3406437127,7.51523454831
654,Are,7.71698028255,-1.04465906627,-1.4387287633
657,Yadu,-4.28123668089,3.45421902583,3.81256707195
658,Hrishikesha,3.53325462744,-7.47437566278,-0.567437664177
659,Prince,-1.78850010303,0.275355878802,-4.85022191172
668,Rukmi,-7.14662104606,-7.6032668866,9.64215611879
683,Let,2.53187883032,3.50023703222,1.40795665141
695,First,9.49041626896,6.86186823004,-6.30162781378
707,Sindhu,2.12284258119,5.28662637724,-11.6387981487
732,Durmukha,-10.9986135561,11.4157237411,0.675834608323
737,Hiranyavarman,0.549666013333,-3.07454016303,15.5915649331
754,Seeing,-0.599901530486,-0.15703416671,-5.04656289888
758,Jaya,9.00220408358,-11.7630671431,-9.44896630626
763,Varanavata,-5.22459090439,-1.12610249595,2.59025302026
765,Asita,18.1630749775,-3.93302744085,-5.00505143903
770,Hastinapura,-3.01371761004,-1.18464546212,4.26852182502
773,Six,11.1614657113,3.78937006534,-5.12224870199
774,Ugrasena,-0.288947392146,-13.1218325028,1.9662081091
781,Maya,9.58754550788,2.96661257008,-5.49610422439
792,Saivya,2.63387801014,8.89663301283,-8.21823075421
799,Earth,6.77707570204,-2.92298062866,12.3371321245
804,Devadatta,1.64102998109,1.4900760793,-8.25853287708
806,Desiring,5.30162068867,-1.5795028424,-5.16823114221
811,Babhruvahana,-0.726190915198,5.89371813562,-9.44852398376
812,Second,8.79771904902,6.82253364619,-6.13410102443
815,So,7.25561384682,-0.761880245972,-10.4795590175
819,Madras,-15.4804713119,-13.1245842651,-4.49949670617
847,Sudarshana,3.99565954875,-1.13076236998,-3.71073491088
851,Adhiratha,2.5136263457,3.39442555327,-10.659531798
857,Where,5.04889740621,-2.67345001978,-4.7910189071
866,Kali,7.59441952551,-5.77793777062,-0.84479903718
877,Meru,1.96068189464,-2.51215659348,-3.57048024482
879,Monarch,-13.784593503,-6.76279500436,-0.194153018616
889,Kalinga,-8.53408445203,-5.26352853097,0.601144965056
893,Dvaraka,-5.09308463539,-0.867530232387,4.37349039493
895,Me,6.94313158732,-6.23382403375,3.90106627506
904,My,7.97452169767,-1.3923888107,3.30971612768
914,Tomorrow,12.6126020449,-4.62668976922,-11.0900148209
917,Ganga,-0.813714998595,-1.79867745873,1.8098041205
918,Dear,8.07258691826,3.58133180672,3.71896504379
920,Yamaraja,-0.31636259679,4.98811896282,-3.3429589446
922,Shishupala,3.61510038657,-5.89320425345,4.48420762292
924,Dhritarastra,-0.623944534846,1.81399815008,-1.94996263945
